experiment,dataset,model,time_sec,fps,num_dets,avg_score
kitti_pointpillars_000123,KITTI,PointPillars,124.26614059999702,0.008047244367385013,10,0.607385566830635
kitti_3dssd_000123,KITTI,3DSSD,14.348299200006295,0.06969467154682425,100,0.05364088891905396
kitti_second_000123,KITTI,SECOND,12.231783499999437,0.08175422660154555,0,
nuscenes_pointpillars_demo,nuScenes,PointPillars,12.714953399990918,0.07864755524787957,365,0.12656440537882177
nuscenes_centerpoint_demo,nuScenes,CenterPoint,25.39783790000365,0.039373430287144885,264,0.2443205231631344
